"co_seq_procedimento","co_procedimento","co_grupo","co_sub_grupo","co_forma_organizacao","nu_competencia_min","nu_competencia_max","qt_registro","qt_no_procedimento","no_procedimento","tp_complexidade","tp_sexo","qt_maxima_execucao","qt_dias_permanencia","qt_pontos","vl_idade_minima","vl_idade_maxima","vl_sh","vl_sa","vl_sp","co_financiamento","co_rubrica","qt_tempo_permanencia","no_grupo","no_sub_grupo","no_forma_organizacao","sg_procedimento"
223,202010341,2,2,1,200801,202301,175,1,DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","3.5100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODEDEAL
233,202010449,2,2,1,200801,202301,175,1,DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,"2",M,"9999","9999","0","0","1571","0.00000000000000000000","2.0100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODEFRPR
243,202010546,2,2,1,200801,202301,175,1,DOSAGEM DE LEUCINO-AMINOPEPTIDASE,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","3.5100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODELE
254,202010651,2,2,1,200801,202301,175,1,DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.0100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODETRGL
265,202010767,2,2,1,201007,202301,145,1,DOSAGEM DE 25 HIDROXIVITAMINA D,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","15.2400000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODEHID25
276,202020088,2,2,2,200801,202301,175,2,DETERMINAÇÃO DE TEMPO DE LISE DA EUGLOBULINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,DEDETEDE
287,202020193,2,2,2,200801,202301,175,1,DOSAGEM DE FATOR IX,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","7.6100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,DODEFAIX
299,202020312,2,2,2,200801,202301,175,1,DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,DODEHEIN37
300,202020320,2,2,2,200801,202301,175,1,DOSAGEM DE HEMOGLOBINA FETAL,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,DODEHEFE
301,202020339,2,2,2,200801,202301,175,1,DOSAGEM DE HEMOSSIDERINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,DODEHE
302,202020347,2,2,2,200801,202301,175,1,DOSAGEM DE PLASMINOGENIO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.1100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,DODEPL
303,202020355,2,2,2,200801,202301,175,1,ELETROFORESE DE HEMOGLOBINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.4100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,ELDEHE
304,202020363,2,2,2,200801,202301,175,1,"ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)","2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,ERERHEHE
305,202020371,2,2,2,200801,202301,175,1,HEMATOCRITO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.5300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,HE
306,202020380,2,2,2,200801,202301,175,1,HEMOGRAMA COMPLETO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.1100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,HECO
307,202020398,2,2,2,200801,202301,175,1,LEUCOGRAMA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,LE
308,202020401,2,2,2,200801,202301,175,1,PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","25.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDEATDO
309,202020410,2,2,2,200801,202301,175,1,PESQUISA DE CELULAS LE,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.1100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDECELE
310,202020428,2,2,2,200801,202301,175,1,PESQUISA DE CORPUSCULOS DE HEINZ,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDECODE
311,202020436,2,2,2,200801,202301,175,1,PESQUISA DE FILARIA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDEFI
512,202060047,2,2,6,200801,202301,175,1,DOSAGEM DE 17-ALFA-HIDROXIPROGESTERONA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","10.2000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hormonais                                                                                    ,DODEAL17
312,202020444,2,2,2,200801,202301,175,1,PESQUISA DE HEMOGLOBINA S,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDEHES
313,202020452,2,2,2,200801,202301,175,1,PESQUISA DE PLASMODIO,"1",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDEPL
314,202020460,2,2,2,200801,202301,175,1,PESQUISA DE TRIPANOSSOMA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PEDETR
315,202020479,2,2,2,200801,202301,175,1,"PROVA DE COMPATIBILIDADE PRE-TRANSFUSIONAL (MEIOS SALINOS, ALBUMINOSO E COOMBS)","2",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PRDECOPR
316,202020487,2,2,2,200801,202301,175,1,PROVA DE CONSUMO DE PROTROMBINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.1100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PRDECODE
317,202020495,2,2,2,200801,202301,175,1,PROVA DE RETRACAO DO COAGULO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PRDEREDO
318,202020509,2,2,2,200801,202301,175,1,PROVA DO LACO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,PRDOLA
592,202080021,2,2,8,200801,202301,175,1,ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","13.3300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames microbiológicos                                                                              ,ANCCOINM
593,202080030,2,2,8,200801,202301,175,1,ANTIBIOGRAMA P/ MICOBACTERIAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","13.3300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames microbiológicos                                                                              ,ANPMI
320,202020525,2,2,2,200801,202301,175,1,TESTE DE AGREGACAO DE PLAQUETAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","12.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,TEDEAGDE
321,202020533,2,2,2,200801,202301,175,1,TESTE DE HAM (HEMOLISE ACIDA),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,TEDEHAHE
611,202080218,2,2,8,200801,202301,175,1,PESQUISA DE HELICOBACTER PYLORI,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.3300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames microbiológicos                                                                              ,PEDEHEPY
322,202020541,2,2,2,200801,202301,175,1,TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames hematológicos e hemostasia                                                                   ,TEDIDEAN
326,202030016,2,2,3,200801,202301,175,1,CONTAGEM DE LINFOCITOS B,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","15.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,CODELIB
327,202030024,2,2,3,200801,202301,175,1,CONTAGEM DE LINFOCITOS CD4/CD8,"3",I,"9999","9999","0","0","1571","0.00000000000000000000","15.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,CODELICD48
328,202030032,2,2,3,200801,202301,175,1,CONTAGEM DE LINFOCITOS T TOTAIS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","15.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,CODELITT
329,202030040,2,2,3,200801,202301,175,3,DETECÇÃO DE ÁCIDOS NUCLEICOS DO HIV-1 (QUALITATIVO),"2",I,"9999","9999","0","24","1571","0.00000000000000000000","65.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DEDECINU1 | DEDERNDO1
330,202030059,2,2,3,200801,202301,175,2,DETECÇÃO DE RNA DO VÍRUS DA HEPATITE C (QUALITATIVO),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","96.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DEDERNDO
331,202030067,2,2,3,200801,202301,175,2,DETERMINAÇÃO DE COMPLEMENTO (CH50),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","9.2500000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DEDECOCH50
332,202030075,2,2,3,200801,202301,175,2,DETERMINAÇÃO DE FATOR REUMATOIDE,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.8300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DEDEFARE
333,202030083,2,2,3,200801,202301,175,2,DETERMINAÇÃO QUANTITATIVA DE PROTEÍNA C REATIVA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","9.2500000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DEQUDEPR
334,202030091,2,2,3,200801,202301,175,1,DOSAGEM DE ALFA-FETOPROTEINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","15.0600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEAL
335,202030105,2,2,3,200801,202301,175,1,DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA),"2",M,"9999","9999","0","0","1571","0.00000000000000000000","16.4200000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEANPR
336,202030113,2,2,3,200801,202301,175,1,DOSAGEM DE BETA-2-MICROGLOBULINA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","13.5500000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEBE2
337,202030121,2,2,3,200801,202301,175,1,DOSAGEM DE COMPLEMENTO C3,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","17.1600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODECOC3
338,202030130,2,2,3,200801,202301,175,1,DOSAGEM DE COMPLEMENTO C4,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","17.1600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODECOC4
339,202030148,2,2,3,200801,202301,175,1,DOSAGEM DE CRIOAGLUTININA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.8300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODECR
762,204030145,2,4,3,200801,202301,175,1,RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","12.0200000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico por radiologia                                                                          ,Exames radiológicos do torax e mediastino                                                           ,RADETOPA
770,204040043,2,4,4,200801,202301,175,1,RADIOGRAFIA DE ARTICULACAO ESTERNO-CLAVICULAR,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","7.4000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico por radiologia                                                                          ,Exames radiológicos da cintura escapular e dos membros superiores                                   ,RADEARES
341,202030164,2,2,3,200801,202301,175,1,DOSAGEM DE IMUNOGLOBULINA E (IGE),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","9.2500000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEIMEI
781,204050030,2,4,5,200801,202301,175,1,COLANGIOGRAFIA POS-OPERATORIA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","32.6100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico por radiologia                                                                          ,Exames radiológicos do abdomen e pelve                                                              ,COPO
342,202030172,2,2,3,200801,202301,175,1,DOSAGEM DE IMUNOGLOBULINA G (IGG),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEIMGI
789,204050111,2,4,5,200801,202301,175,1,RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","10.7300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico por radiologia                                                                          ,Exames radiológicos do abdomen e pelve                                                              ,RADEABAP
343,202030180,2,2,3,200801,202301,175,1,DOSAGEM DE IMUNOGLOBULINA M (IGM),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","17.1600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEIMMI
344,202030199,2,2,3,200801,202301,175,1,DOSAGEM DE INIBIDOR DE C1-ESTERASE,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","9.2500000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEINDE1
345,202030202,2,2,3,200801,202301,175,1,DOSAGEM DE PROTEINA C REATIVA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.8300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,DODEPRCR
346,202030210,2,2,3,200801,202301,175,1,GENOTIPAGEM DE VIRUS DA HEPATITE C,"3",I,"9999","9999","0","0","1571","0.00000000000000000000","298.4800000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,GEDEVIDA
347,202030229,2,2,3,200801,202301,175,1,IMUNOELETROFORESE DE PROTEINAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","17.1600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,IMDEPR
348,202030237,2,2,3,200801,202301,175,1,IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR),"2",I,"10","9999","0","0","1571","80.0000000000000000","80.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames sorológicos e imunológicos                                                                   ,IMDEHEMA
