"co_seq","co_cid","no_cid","co_capitulo","no_capitulo","ds_titulo_capitulo","co_categoria","no_categoria","ds_agrupamento","co_seq_diretriz"
3730,I211,Infarto agudo transmural da parede inferior do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I21,Infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3743,I232,Comunicacao interventricular como complicacao atual subsequente ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3753,I249,Doenca isquemica aguda do coracao nao especificada ,9,Capitulo IX,Doencas do aparelho circulatorio,I24,Outras doencas isquemicas agudas do coracao,Doencas isquemicas do coracao (I20-I25),81
3745,I234,Ruptura de cordoalhas tendineas como complicacao atual subsequente ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3748,I238,Outras complicacoes atuais subsequentes ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3729,I210,Infarto agudo transmural da parede anterior do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I21,Infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3739,I229,Infarto do miocardio recorrente de localizacao nao especificada ,9,Capitulo IX,Doencas do aparelho circulatorio,I22,Infarto do miocardio recorrente,Doencas isquemicas do coracao (I20-I25),81
1029,C20,Neoplasia maligna do reto ,2,Capitulo II,Neoplasias [tumores],C20,Neoplasia maligna do reto ,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
3738,I228,Infarto do miocardio recorrente de outras localizacoes ,9,Capitulo IX,Doencas do aparelho circulatorio,I22,Infarto do miocardio recorrente,Doencas isquemicas do coracao (I20-I25),81
3737,I221,Infarto do miocardio recorrente da parede inferior ,9,Capitulo IX,Doencas do aparelho circulatorio,I22,Infarto do miocardio recorrente,Doencas isquemicas do coracao (I20-I25),81
3744,I233,Ruptura da parede do coracao sem ocorrencia de hemopericardio como complicacao atual subsequente ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3746,I235,Ruptura de musculos papilares como complicacao atual subsequente ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3732,I213,"Infarto agudo transmural do miocardio, de localizacao nao especificada ",9,Capitulo IX,Doencas do aparelho circulatorio,I21,Infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3736,I220,Infarto do miocardio recorrente da parede anterior ,9,Capitulo IX,Doencas do aparelho circulatorio,I22,Infarto do miocardio recorrente,Doencas isquemicas do coracao (I20-I25),81
3742,I231,Comunicacao interatrial como complicacao atual subsequente ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
2297,E782,Hiperlipidemia mista ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E78,Disturbios do metabolismo de lipoproteinas e outras lipidemias,Disturbios metabolicos (E70-E90),32
2302,E788,Outros disturbios do metabolismo de lipoproteinas ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E78,Disturbios do metabolismo de lipoproteinas e outras lipidemias,Disturbios metabolicos (E70-E90),32
1403,C925,Leucemia mielomonocitica aguda ,2,Capitulo II,Neoplasias [tumores],C92,Leucemia mieloide,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
1410,C937,Outras leucemias monociticas ,2,Capitulo II,Neoplasias [tumores],C93,Leucemia monocitica,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
1413,C940,Eritremia e eritroleucemia agudas ,2,Capitulo II,Neoplasias [tumores],C94,Outras leucemias de celulas de tipo especificado,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
5780,M838,Outra osteomalacia do adulto ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M83,Osteomalacia do adulto,Transtornos da densidade e da estrutura ossea (M80-M85),38
6042,N180,Doenca renal em estadio final ,14,Capitulo XIV,Doencas do aparelho geniturinario,N18,Insuficiencia renal cronica,Insuficiencia renal (N17-N19),38
2322,E833,Disturbios do metabolismo do fosforo ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E83,Disturbios do metabolismo de minerais,Disturbios metabolicos (E70-E90),38
1123,C437,"Melanoma maligno do membro inferior, incluindo quadril ",2,Capitulo II,Neoplasias [tumores],C43,Melanoma maligno da pele,Melanoma e outras neoplasias [tumores] malignas(os) da pele (C43-C44),96
5756,M805,Osteoporose idiopatica com fratura patologica ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M80,Osteoporose com fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5761,M811,Osteoporose pos-ooforectomia ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M81,Osteoporose sem fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5760,M810,Osteoporose pos-menopausica ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M81,Osteoporose sem fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5753,M802,Osteoporose de desuso com fratura patologica ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M80,Osteoporose com fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
2927,G300,Doenca de Alzheimer de inicio precoce ,6,Capitulo VI,Doencas do sistema nervoso,G30,Doenca de Alzheimer,Outras doencas degenerativas do sistema nervoso (G30-G32),39
2928,G301,Doenca de Alzheimer de inicio tardio ,6,Capitulo VI,Doencas do sistema nervoso,G30,Doenca de Alzheimer,Outras doencas degenerativas do sistema nervoso (G30-G32),39
2929,G308,Outras formas de doenca de Alzheimer ,6,Capitulo VI,Doencas do sistema nervoso,G30,Doenca de Alzheimer,Outras doencas degenerativas do sistema nervoso (G30-G32),39
6253,N804,Endometriose do septo retovaginal e da vagina ,14,Capitulo XIV,Doencas do aparelho geniturinario,N80,Endometriose,Transtornos nao-inflamatorios do trato genital feminino (N80-N98),48
2891,G20,Doenca de Parkinson ,6,Capitulo VI,Doencas do sistema nervoso,G20,Doenca de Parkinson ,Doencas extrapiramidais e transtornos dos movimentos (G20-G26),44
2958,G402,Epilepsia e sindromes epilepticas sintomaticas definidas por sua localizacao (focal) (parcial) com crises parciais complexas ,6,Capitulo VI,Doencas do sistema nervoso,G40,Epilepsia,Transtornos episodicos e paroxisticos (G40-G47),50
2962,G406,"Crise de grande mal, nao especificada (com ou sem pequeno mal) ",6,Capitulo VI,Doencas do sistema nervoso,G40,Epilepsia,Transtornos episodicos e paroxisticos (G40-G47),50
2525,F202,Esquizofrenia catatonica ,5,Capitulo V,Transtornos mentais e comportamentais,F20,Esquizofrenia,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",57
2530,F208,Outras esquizofrenias ,5,Capitulo V,Transtornos mentais e comportamentais,F20,Esquizofrenia,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",57
2527,F204,Depressao pos-esquizofrenica ,5,Capitulo V,Transtornos mentais e comportamentais,F20,Esquizofrenia,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",57
2526,F203,Esquizofrenia indiferenciada ,5,Capitulo V,Transtornos mentais e comportamentais,F20,Esquizofrenia,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",57
2528,F205,Esquizofrenia residual ,5,Capitulo V,Transtornos mentais e comportamentais,F20,Esquizofrenia,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",57
3752,I248,Outras formas de doenca isquemica aguda do coracao ,9,Capitulo IX,Doencas do aparelho circulatorio,I24,Outras doencas isquemicas agudas do coracao,Doencas isquemicas do coracao (I20-I25),81
9758,T862,Falencia ou rejeicao de transplante de coracao ,19,Capitulo XIX,"Lesoes, envenenamento e algumas outras consequencias de causas externas",T86,Falha e rejeicao de orgaos e tecidos transplantados,Complicacoes de cuidados medicos e cirurgicos nao classificados em outra parte (T80-T88),77
14193,Z941,Coracao transplantado ,21,Capitulo XXI,Fatores que influenciam o estado de saude e o contato com os servicos de saude,Z94,Orgaos e tecidos transplantados,Pessoas com riscos potenciais a saude relacionados com historia familiar e pessoal e algumas afeccoes que influenciam o estado de saude (Z80-Z99),77
9760,T864,Falencia ou rejeicao de transplante de figado ,19,Capitulo XIX,"Lesoes, envenenamento e algumas outras consequencias de causas externas",T86,Falha e rejeicao de orgaos e tecidos transplantados,Complicacoes de cuidados medicos e cirurgicos nao classificados em outra parte (T80-T88),78
3741,I230,Hemopericardio como complicacao atual subsequente ao infarto agudo do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I23,Algumas complicacoes atuais subsequentes ao infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
3750,I240,Trombose coronaria que nao resulta em infarto do miocardio ,9,Capitulo IX,Doencas do aparelho circulatorio,I24,Outras doencas isquemicas agudas do coracao,Doencas isquemicas do coracao (I20-I25),81
1416,C943,Leucemia de mastocitos ,2,Capitulo II,Neoplasias [tumores],C94,Outras leucemias de celulas de tipo especificado,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
1401,C923,Sarcoma mieloide ,2,Capitulo II,Neoplasias [tumores],C92,Leucemia mieloide,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
5763,M813,Osteoporose devida a ma-absorcao pos-cirurgica ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M81,Osteoporose sem fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5762,M812,Osteoporose de desuso ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M81,Osteoporose sem fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5754,M803,Osteoporose por ma-absorcao pos-cirurgica com fratura patologica ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M80,Osteoporose com fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5771,M821,Osteoporose em disturbios endocrinos (E00-E34+) ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M82,Osteoporose em doencas classificadas em outra parte,Transtornos da densidade e da estrutura ossea (M80-M85),105
5764,M814,Osteoporose induzida por drogas ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M81,Osteoporose sem fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5757,M808,Outras osteoporoses com fratura patologica ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M80,Osteoporose com fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
5770,M820,Osteoporose na mielomatose multipla (C90.0+) ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M82,Osteoporose em doencas classificadas em outra parte,Transtornos da densidade e da estrutura ossea (M80-M85),105
5767,M818,Outras osteoporoses ,13,Capitulo XIII,Doencas do sistema osteomuscular e do tecido conjuntivo,M81,Osteoporose sem fratura patologica,Transtornos da densidade e da estrutura ossea (M80-M85),105
2072,E208,Outro hipoparatireoidismo ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E20,Hipoparatireoidismo,Transtornos de outras glandulas endocrinas (E20-E35),72
1969,E030,Hipotireoidismo congenito com bocio difuso ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E03,Outros hipotireoidismos,Transtornos da glandula tireoide (E00-E07),73
1970,E031,Hipotireoidismo congenito sem bocio ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E03,Outros hipotireoidismos,Transtornos da glandula tireoide (E00-E07),73
14196,Z944,Figado transplantado ,21,Capitulo XXI,Fatores que influenciam o estado de saude e o contato com os servicos de saude,Z94,Orgaos e tecidos transplantados,Pessoas com riscos potenciais a saude relacionados com historia familiar e pessoal e algumas afeccoes que influenciam o estado de saude (Z80-Z99),78
14192,Z940,Rim transplantado ,21,Capitulo XXI,Fatores que influenciam o estado de saude e o contato com os servicos de saude,Z94,Orgaos e tecidos transplantados,Pessoas com riscos potenciais a saude relacionados com historia familiar e pessoal e algumas afeccoes que influenciam o estado de saude (Z80-Z99),79
9757,T861,Falencia ou rejeicao de transplante de rim ,19,Capitulo XIX,"Lesoes, envenenamento e algumas outras consequencias de causas externas",T86,Falha e rejeicao de orgaos e tecidos transplantados,Complicacoes de cuidados medicos e cirurgicos nao classificados em outra parte (T80-T88),79
1399,C921,Leucemia mieloide cronica ,2,Capitulo II,Neoplasias [tumores],C92,Leucemia mieloide,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
1398,C920,Leucemia mieloide aguda ,2,Capitulo II,Neoplasias [tumores],C92,Leucemia mieloide,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",89
5246,L931,Lupus eritematoso cutaneo subagudo ,12,Capitulo XII,Doencas da pele e do tecido subcutaneo,L93,Lupus eritematoso,Outras afeccoes da pele e do tecido subcutaneo (L80-L99),95
5245,L930,Lupus eritematoso discoide ,12,Capitulo XII,Doencas da pele e do tecido subcutaneo,L93,Lupus eritematoso,Outras afeccoes da pele e do tecido subcutaneo (L80-L99),95
1118,C432,Melanoma maligno da orelha e do conduto auditivo externo ,2,Capitulo II,Neoplasias [tumores],C43,Melanoma maligno da pele,Melanoma e outras neoplasias [tumores] malignas(os) da pele (C43-C44),96
1457,D033,"Melanoma in situ de outras partes, e de partes nao especificadas da face ",2,Capitulo II,Neoplasias [tumores],D03,Melanoma in situ,Neoplasias[tumores] in situ (D00-D09),96
1386,C901,Leucemia plasmocitaria ,2,Capitulo II,Neoplasias [tumores],C90,Mieloma multiplo e neoplasias malignas de plasmocitos,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",99
1385,C900,Mieloma multiplo ,2,Capitulo II,Neoplasias [tumores],C90,Mieloma multiplo e neoplasias malignas de plasmocitos,"Neoplasias [tumores] malignas(os) do tecido linfatico, hematopoetico e de tecidos correlatos (C81-C96)",99
1208,C570,Trompa de Falopio ,2,Capitulo II,Neoplasias [tumores],C57,Neoplasia maligna de outros orgaos genitais femininos e dos nao especificados,Neoplasias [tumores] malignas(os) dos orgaos genitais femininos (C51-C58),103
1206,C56,Neoplasia maligna do ovario ,2,Capitulo II,Neoplasias [tumores],C56,Neoplasia maligna do ovario ,Neoplasias [tumores] malignas(os) dos orgaos genitais femininos (C51-C58),103
5013,L401,Psoriase pustulosa generalizada ,12,Capitulo XII,Doencas da pele e do tecido subcutaneo,L40,Psoriase,Afeccoes papulo-descamativas (L40-L45),107
5012,L400,Psoriase vulgar ,12,Capitulo XII,Doencas da pele e do tecido subcutaneo,L40,Psoriase,Afeccoes papulo-descamativas (L40-L45),107
5146,L680,Hirsutismo ,12,Capitulo XII,Doencas da pele e do tecido subcutaneo,L68,Hipertricose,Afeccoes dos anexos da pele (L60-L75),117
2561,F311,"Transtorno afetivo bipolar, episodio atual maniaco sem sintomas psicoticos ",5,Capitulo V,Transtornos mentais e comportamentais,F31,Transtorno afetivo bipolar,Transtornos do humor [afetivos] (F30-F39),120
2562,F312,"Transtorno afetivo bipolar, episodio atual maniaco com sintomas psicoticos ",5,Capitulo V,Transtornos mentais e comportamentais,F31,Transtorno afetivo bipolar,Transtornos do humor [afetivos] (F30-F39),120
2546,F250,Transtorno esquizoafetivo do tipo maniaco ,5,Capitulo V,Transtornos mentais e comportamentais,F25,Transtornos esquizoafetivos,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",122
2547,F251,Transtorno esquizoafetivo do tipo depressivo ,5,Capitulo V,Transtornos mentais e comportamentais,F25,Transtornos esquizoafetivos,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",122
4053,I820,Sindrome de Budd-Chiari ,9,Capitulo IX,Doencas do aparelho circulatorio,I82,Outra embolia e trombose venosas,"Doencas das veias, dos vasos linfaticos e dos ganglios linfaticos, nao classificados em outra parte (I80-I89)",123
1181,C504,Quadrante superior externo da mama ,2,Capitulo II,Neoplasias [tumores],C50,Neoplasia maligna da mama,Neoplasia [tumor] maligna(o) da mama (C50),18
3734,I219,Infarto agudo do miocardio nao especificado ,9,Capitulo IX,Doencas do aparelho circulatorio,I21,Infarto agudo do miocardio,Doencas isquemicas do coracao (I20-I25),81
1752,D472,Gamopatia monoclonal ,2,Capitulo II,Neoplasias [tumores],D47,"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfatico, hematopoetico e tecidos correlatos",Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),99
1327,C786,Neoplasia maligna secundaria do retroperitonio e do peritonio ,2,Capitulo II,Neoplasias [tumores],C78,Neoplasia maligna secundaria dos orgaos respiratorios e digestivos,"Neoplasias [tumores] malignas(os) de localizacoes mal definidas, secundarias e de localizacoes nao especificadas (C76-C80)",103
5018,L408,Outras formas de psoriase ,12,Capitulo XII,Doencas da pele e do tecido subcutaneo,L40,Psoriase,Afeccoes papulo-descamativas (L40-L45),107
5950,N043,Sindrome nefrotica - glomerulonefrite proliferativa mesangial difusa ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
5956,N049,Sindrome nefrotica - nao especificada ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
5951,N044,Sindrome nefrotica - glomerulonefrite proliferativa endocapilar difusa ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
5949,N042,Sindrome nefrotica - glomerulonefrite membranosa difusa ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
3957,I661,Oclusao e estenose da arteria cerebral anterior ,9,Capitulo IX,Doencas do aparelho circulatorio,I66,Oclusao e estenose de arterias cerebrais que nao resultam em infarto cerebral,Doencas cerebrovasculares (I60-I69),1
5953,N046,Sindrome nefrotica - doenca de deposito denso ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
3944,I636,Infarto cerebral devido a trombose venosa cerebral nao-piogenica ,9,Capitulo IX,Doencas do aparelho circulatorio,I63,Infarto cerebral,Doencas cerebrovasculares (I60-I69),1
2082,E220,Acromegalia e gigantismo hipofisario ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E22,Hiperfuncao da hipofise,Transtornos de outras glandulas endocrinas (E20-E35),3
1891,D75,Outras doencas do sangue e dos orgaos hematopoeticos,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D75,Outras doencas do sangue e dos orgaos hematopoeticos,Outras doencas do sangue e dos orgaos hematopoeticos (D70-D77),4
1223,C61,Neoplasia maligna da prostata ,2,Capitulo II,Neoplasias [tumores],C61,Neoplasia maligna da prostata ,Neoplasias [tumores] malignas(os) dos orgaos genitais masculinos (C60-C63),4
14200,Z948,Outros orgaos e tecidos transplantados ,21,Capitulo XXI,Fatores que influenciam o estado de saude e o contato com os servicos de saude,Z94,Orgaos e tecidos transplantados,Pessoas com riscos potenciais a saude relacionados com historia familiar e pessoal e algumas afeccoes que influenciam o estado de saude (Z80-Z99),5
1836,D618,Outras anemias aplasticas especificadas ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D61,Outras anemias aplasticas,Anemias aplasticas e outras anemias (D60-D64),5
1818,D591,Outras anemias hemoliticas auto-imunes ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D59,Anemia hemolitica adquirida,Anemias hemoliticas (D55-D59),5
1817,D590,Anemia hemolitica auto-imune induzida por droga ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D59,Anemia hemolitica adquirida,Anemias hemoliticas (D55-D59),5
2548,F252,Transtorno esquizoafetivo do tipo misto ,5,Capitulo V,Transtornos mentais e comportamentais,F25,Transtornos esquizoafetivos,"Esquizofrenia, transtonos esquizotipicos e transtornos delirantes (F20-F29)",122
4056,I823,Embolia e trombose de veia renal ,9,Capitulo IX,Doencas do aparelho circulatorio,I82,Outra embolia e trombose venosas,"Doencas das veias, dos vasos linfaticos e dos ganglios linfaticos, nao classificados em outra parte (I80-I89)",123
1769,D508,Outras anemias por deficiencia de ferro ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D50,Anemia por deficiencia de ferro,Anemias nutricionais (D50-D89),6
4280,J450,Asma predominantemente alergica ,10,Capitulo X,Doencas do aparelho respiratorio,J45,Asma,Doencas cronicas das vias aereas inferiores (J40-J47),13
4281,J451,Asma nao-alergica ,10,Capitulo X,Doencas do aparelho respiratorio,J45,Asma,Doencas cronicas das vias aereas inferiores (J40-J47),13
5955,N048,Sindrome nefrotica - outras ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
5952,N045,Sindrome nefrotica - glomerulonefrite mesangiocapilar difusa ,14,Capitulo XIV,Doencas do aparelho geniturinario,N04,Sindrome nefrotica,Doencas glomerulares (N00-N08),115
